Species,Year ,Landings ('000 tonnes),Landed Value ($millions),Wholesale Values ($millions)
Other Wild,2004,14.2,28.6,41.3
Other Farmed,2004,0.2,1.6,2.4
Wild Salmon,2005,27.3,34.2,218.6
Farmed Salmon,2005,70.4,318.3,375.8
Groundfish,2005,170.6,156.7,292.8
Wild Shellfish,2005,18.1,125.7,171.8
Farmed Shellfish,2005,10.1,17.9,30.2
Herring,2005,30.8,32.5,89.1
Other Wild,2005,10.4,18.5,35.1
Other Farmed,2005,0.4,2.6,3.1
Wild Salmon,2006,24.3,60.9,225.7
Farmed Salmon,2006,78.0,407.4,450.4
Groundfish,2006,148.5,149.5,315.1
Wild Shellfish,2006,15.1,110.8,155.4
Farmed Shellfish,2006,10.2,19.0,33.7
Herring,2006,23.5,18.3,59.9
Other Wild,2006,7.9,18.4,38.9
Other Farmed,2006,0.8,3.8,5.2
Wild Salmon,2007,20.2,31.6,182.1
Farmed Salmon,2007,78.9,384.1,469.3
Groundfish,2007,122.3,135.5,338.0
Wild Shellfish,2007,16.9,110.2,155.6
Farmed Shellfish,2007,9.9,21.3,32.8
Herring,2007,11.8,20.2,57.1
Other Wild,2007,8.7,19.3,32.9
Other Farmed,2007,1.1,5.0,5.6
Wild Salmon,2008,5.4,21.8,138.1
Farmed Salmon,2008,81.4,409.3,495.2
Groundfish,2008,115.8,123.8,321.7
Wild Shellfish,2008,16.1,99.5,157.0
Farmed Shellfish,2008,7.5,16.2,28.3
Herring,2008,11.4,16.0,48.3
Other Wild,2008,16.2,22.6,51.2
Other Farmed,2008,2.5,9.0,9.8
Wild Salmon,2009,18.5,23.7,143.5
Farmed Salmon,2009,76.3,394.2,493.5
Groundfish,2009,100.8,108.7,301.4
Wild Shellfish,2009,15.9,106.9,176.3
Farmed Shellfish,2009,7.8,17.5,30.3
Herring,2009,12.3,17.6,65.3
Other Wild,2009,21.3,20.2,49.6
Other Farmed,2009,2.0,11.1,12.3
Wild Salmon,2010,23.6,70.6,240.9
Farmed Salmon,2010,78.7,499.7,550.4
Groundfish,2010,97.6,111.5,281.6
Wild Shellfish,2010,14.5,112.6,192.6
Farmed Shellfish,2010,10.1,22.0,29.9
Herring,2010,10.2,11.9,43.0
Other Wild,2010,29.0,28.1,74.5
Other Farmed,2010,2.8,16.9,18.7
Wild Salmon,2011,20.7,48.0,221.6
Farmed Salmon,2011,83.2,435.7,507.0
Groundfish,2011,99.6,129.5,312.6
Wild Shellfish,2011,13.4,130.2,206.8
Farmed Shellfish,2011,9.1,19.3,29.2
Herring,2011,10.8,6.3,30.2
Other Wild,2011,26.4,33.9,75.8
Other Farmed,2011,1.2,10.5,16.6
Wild Salmon,2012,13.2,34.4,168.4
Farmed Salmon,2012,80.0,409.1,474.6
Groundfish,2012,89.5,123.4,282.9
Wild Shellfish,2012,12.9,126.4,201.9
Farmed Shellfish,2012,8.9,19.0,34.6
Herring,2012,13.1,12.5,38.5
Other Wild,2012,22.0,16.1,62.2
Other Farmed,2012,0.7,7.5,15.8
Wild Salmon,2013,31.6,45.2,178.5
Farmed Salmon,2013,62.4,416.3,461.8
Groundfish,2013,97.9,111.7,291.2
Wild Shellfish,2013,13.39,125.7,206.5
Farmed Shellfish,2013,8.3,22.6,40.4
Herring,2013,21.16,17,45.7
Other Wild,2013,5.4,24.7,63.2
Other Farmed,2013,1.6,12.1,22.9
Wild Salmon,2014,41.7,124.7,307.3
Farmed Salmon,2014,61.5,377.8,461.7
Groundfish,2014,85.9,116.7,271.7
Wild Shellfish,2014,13.6,142.0,211.7
Farmed Shellfish,2014,10.3,22.1,50.5
Herring,2014,20.8,15.7,43.3
Other Wild,2014,5.1,16.4,62.2
Other Farmed,2014,1.5,12.9,31.7
Wild Salmon,2015,20.2,51.9,172.8
Farmed Salmon,2015,83.8,463.6,574.8
Groundfish,2015,93.3,138.4,271.8
Wild Shellfish,2015,18.28,149,221.9
Farmed Shellfish,2015,11,24.6,57.2
Herring,2015,22.53,15.6,51.8
Other Wild,2015,4.6,15.3,55.2
Other Farmed,2015,1.2,9,26.3
