Year,Sector,Economic Development Region,Institution,Value,,,,,,,,
AY 2017/18,Teaching Intensive University,Vancouver Island/Coast,Royal Roads University,"$12,155",,,,,,,,
AY 2017/18,Teaching Intensive University,Thompson Okanagan,Thompson Rivers University,"$7,287",,,,,,,,
AY 2017/18,Teaching Intensive University,Mainland/Southwest,University of the Fraser Valley,"$9,132",,,,,,,,
AY 2017/18,Teaching Intensive University,Vancouver Island/Coast,Vancouver Island University,"$8,634",,,,,,,,
AY 2017/18,Research Intensive University,Mainland/Southwest,Simon Fraser University,"$7,243",,,,,,,,
AY 2017/18,Research Intensive University,Mainland/Southwest,University of British Columbia,"$4,802",,,,,,,,
AY 2017/18,Research Intensive University,Cariboo,University of Northern British Columbia,"$3,232",,,,,,,,
AY 2017/18,Research Intensive University,Vancouver Island/Coast,University of Victoria,"$3,791",,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
