age,bmi,km5_time_seconds,km10_time_seconds
29.0,21.4388771057129,NA,3240
39.0,21.7049369812012,1614.0,NA
30.0,26.9886360168457,1794.0,4448
36.0,23.2383003234863,1437.0,NA
28.0,31.25,1737.0,3364
37.0,27.071268081665,1189.0,NA
34.0,26.6810111999512,2040.0,3364
23.0,22.8059120178223,949.0,NA
47.0,24.4897956848145,1203.0,NA
29.0,23.905969619751,1647.0,NA
34.0,29.3292083740234,NA,4687
28.0,24.2376174926758,1523.0,NA
36.0,22.9134426116943,1033.0,NA
30.0,23.2383003234863,1592.0,NA
29.0,21.8359222412109,NA,2375
43.0,19.6408538818359,1346.0,NA
20.0,22.2178153991699,1065.0,2316
33.0,20.8116550445557,1045.0,2219
27.0,22.2055263519287,1492.0,NA
35.0,25.1651439666748,1463.0,3122
33.0,30.1846580505371,1809.0,3810
27.0,20.3689785003662,NA,3300
27.0,28.1329460144043,1382.0,NA
32.0,23.4541072845459,1650.0,NA
28.0,23.4736156463623,1050.0,NA
39.0,22.8434810638428,NA,2290
30.0,24.4410057067871,NA,2428
32.0,24.7866401672363,1560.0,4076
30.0,18.9393939971924,1085.0,NA
32.0,28.1329460144043,1296.0,NA
31.0,20.3689785003662,1468.0,NA
54.0,21.2900238037109,1041.0,NA
45.0,26.4192943572998,1740.0,NA
46.0,23.6403465270996,1174.0,NA
26.0,23.0403213500977,1335.0,2642
38.0,21.6913948059082,995.0,NA
35.0,24.0989780426025,1870.0,NA
18.0,20.3165855407715,978.0,2282
31.0,20.557201385498,NA,2550
50.0,22.607931137085,NA,2472
20.0,19.2949905395508,898.0,1884
36.0,22.3340663909912,897.0,NA
31.0,25.8981323242188,1500.0,NA
35.0,22.2634506225586,2134.0,4043
32.0,20.7441272735596,NA,3003
37.0,21.9138050079346,1256.0,NA
27.0,23.2006683349609,1260.0,NA
42.0,24.8579540252686,1234.0,2328
34.0,22.2634506225586,1045.0,NA
30.0,21.3858814239502,NA,3153
47.0,25.6630573272705,1198.0,NA
26.0,19.1064319610596,869.0,NA
32.0,21.0760669708252,1095.0,NA
44.0,27.9035243988037,1287.0,2537
27.0,31.3389549255371,NA,4115
29.0,25.7942733764648,1670.0,NA
28.0,26.6902332305908,1275.0,NA
38.0,26.5088748931885,NA,2760
53.0,23.0055656433105,NA,2475
27.0,28.0583629608154,1623.0,3662
39.0,31.8450794219971,1799.0,4424
53.0,25.8981323242188,1345.0,NA
37.0,20.3423118591309,NA,2321
32.0,24.8579540252686,1361.0,NA
37.0,23.4604110717773,1589.0,NA
36.0,21.0615863800049,1498.0,NA
38.0,21.1840629577637,1210.0,NA
26.0,22.1496620178223,1980.0,NA
42.0,25.6533584594727,2292.0,4440
33.0,22.4466896057129,1327.0,NA
34.0,24.301830291748,1285.0,2473
35.0,24.8579540252686,1585.0,NA
25.0,23.0823860168457,1130.0,NA
36.0,27.2949028015137,1620.0,3360
36.0,24.4716014862061,1386.0,NA
34.0,20.7028980255127,1213.0,NA
26.0,20.0537414550781,1680.0,NA
23.0,21.3333339691162,912.0,1797
33.0,25.391788482666,1338.0,2833
31.0,23.804801940918,2400.0,NA
30.0,21.6992244720459,1067.0,2169
37.0,28.4972171783447,1372.0,NA
26.0,22.19460105896,1813.0,NA
24.0,20.8116550445557,NA,3394
25.0,21.8716106414795,1525.0,3356
43.0,27.5420742034912,NA,2988
47.0,24.6913585662842,NA,2932
33.0,21.2330913543701,1125.0,NA
32.0,23.0055656433105,1828.0,NA
33.0,21.0615863800049,1167.0,2539
27.0,24.9596538543701,1530.0,NA
37.0,21.6913948059082,982.0,2043
30.0,27.524377822876,NA,3658
26.0,19.4414653778076,NA,3047
29.0,22.7036247253418,1749.0,3056
37.0,23.0055656433105,1540.0,NA
19.0,21.5213356018066,1065.0,NA
24.0,20.9193706512451,NA,2656
23.0,20.4190330505371,NA,3414
39.0,26.7161407470703,1064.0,NA
44.0,21.6890811920166,NA,3287
32.0,19.9214382171631,NA,2290
30.0,25.9219512939453,1648.0,3484
55.0,26.6335220336914,2426.0,4445
32.0,26.2030715942383,NA,3092
27.0,23.2419147491455,1444.0,3100
27.0,25.6533584594727,1740.0,3660
61.0,23.7476806640625,1253.0,NA
74.0,21.6407279968262,1980.0,4200
26.0,23.7476806640625,1470.0,3144
50.0,24.3787326812744,1610.0,NA
32.0,21.3858814239502,NA,3272
43.0,23.5923233032227,1680.0,3420
42.0,22.5063571929932,NA,2388
27.0,23.677225112915,1295.0,NA
22.0,25.2319107055664,1155.0,NA
34.0,28.2003726959229,1580.0,NA
17.0,23.677225112915,1084.0,2651
28.0,22.3620853424072,1388.0,NA
26.0,29.6846008300781,1367.0,NA
20.0,25.1122360229492,1370.0,NA
27.0,19.9214382171631,1634.0,NA
25.0,22.1496620178223,947.0,NA
29.0,25.9219512939453,1725.0,3750
17.0,22.5394439697266,988.0,NA
47.0,25.2340793609619,1159.0,NA
34.0,21.2497501373291,1044.0,NA
38.0,21.2330913543701,1530.0,NA
29.0,23.677225112915,1081.0,NA
25.0,24.2090320587158,1308.0,NA
50.0,22.1496620178223,1250.0,2591
32.0,22.0258159637451,1200.0,2287
23.0,22.0195026397705,NA,2274
24.0,21.5213356018066,1011.0,2143
35.0,21.3858814239502,1303.0,NA
39.0,26.6810111999512,2127.0,4500
32.0,29.5756607055664,1815.0,3277
28.0,18.7552967071533,1200.0,NA
43.0,21.4388771057129,1385.0,2782
32.0,21.2330913543701,1080.0,NA
28.0,20.7507171630859,1685.0,NA
22.0,23.849609375,1032.0,2220
45.0,20.9185256958008,NA,3014
31.0,21.2497501373291,1470.0,3090
42.0,23.6100902557373,1140.0,NA
33.0,27.1515140533447,1570.0,NA
20.0,20.382287979126,1460.0,NA
32.0,24.431360244751,1676.0,NA
36.0,27.996223449707,2016.0,NA
36.0,27.5416889190674,NA,3720
62.0,27.3631248474121,1956.0,4014
25.0,20.5856952667236,1027.0,2141
34.0,20.7028980255127,NA,3577
35.0,30.2970199584961,1320.0,6420
24.0,23.9778060913086,NA,1908
30.0,23.849609375,1290.0,NA
40.0,23.0403213500977,1332.0,2701
39.0,21.3448085784912,1578.0,NA
34.0,24.5955924987793,NA,3660
32.0,26.4016876220703,1193.0,NA
31.0,24.5510673522949,1150.0,NA
34.0,28.7598209381104,1500.0,NA
36.0,20.4466800689697,1317.0,NA
34.0,23.9778060913086,1647.0,NA
33.0,21.745231628418,NA,2480
41.0,19.2949905395508,NA,2792
39.0,26.6902332305908,1860.0,3600
35.0,24.4897956848145,1192.0,NA
56.0,32.0715103149414,NA,3580
46.0,21.5684432983398,1351.0,NA
58.0,21.745231628418,1208.0,NA
19.0,22.3620853424072,1062.0,2481
37.0,23.0055656433105,1490.0,2984
31.0,26.713415145874,1638.0,3855
22.0,25.2475166320801,1278.0,NA
50.0,23.1481494903564,1264.0,2624
38.0,23.8209743499756,1755.0,NA
24.0,21.3858814239502,906.0,1868
33.0,23.3742389678955,1549.0,NA
30.0,23.3060932159424,1338.0,NA
36.0,24.2376174926758,1386.0,NA
45.0,19.7955894470215,1244.0,NA
30.0,21.9138050079346,1604.0,NA
52.0,25.953987121582,1263.0,NA
35.0,25.391788482666,1596.0,3608
52.0,21.2497501373291,1462.0,NA
46.0,21.3792457580566,1420.0,3249
30.0,20.5226860046387,NA,2973
30.0,32.0560989379883,2277.0,NA
40.0,25.0438270568848,NA,4140
31.0,19.8583183288574,1188.0,NA
31.0,28.2003726959229,2040.0,NA
23.0,21.484375,NA,3554
38.0,21.7046508789062,1220.0,NA
25.0,21.5476226806641,NA,2316
40.0,25.2047882080078,1140.0,2820
31.0,20.8698558807373,1185.0,NA
56.0,25.0438270568848,NA,3210
39.0,24.0484848022461,1264.0,NA
26.0,24.1777782440186,1367.0,2789
31.0,21.3858814239502,1454.0,NA
28.0,26.109167098999,1754.0,3493
24.0,25.2477855682373,1436.0,2977
16.0,19.8583183288574,1082.0,NA
45.0,24.1715908050537,1424.0,2971
49.0,22.2634506225586,1238.0,2714
31.0,22.0385684967041,1327.0,NA
33.0,29.6846008300781,NA,2540
30.0,21.8359222412109,NA,2926
21.0,24.0933437347412,NA,2790
31.0,25.9219512939453,NA,3512
39.0,20.6868686676025,1183.0,NA
50.0,25.0438270568848,1157.0,NA
24.0,23.6100902557373,1061.0,NA
39.0,22.5196971893311,NA,3180
38.0,25.7995166778564,NA,4999
39.0,21.6619300842285,NA,2773
31.0,21.0724010467529,NA,3024
43.0,24.5510673522949,NA,2316
37.0,19.24729347229,NA,4740
38.0,28.8179836273193,1497.0,NA
28.0,21.2244892120361,894.0,1890
35.0,20.5856952667236,1195.0,NA
18.0,18.7474746704102,1081.0,2401
34.0,20.7375621795654,1360.0,NA
52.0,23.1481494903564,1140.0,NA
57.0,25.953987121582,1320.0,NA
31.0,26.2626266479492,1513.0,2914
45.0,25.2319107055664,1395.0,NA
29.0,22.7087211608887,1333.0,NA
21.0,22.8940277099609,1304.0,NA
28.0,21.745231628418,1259.0,NA
56.5,24.5530090332031,1243.0,2732
47.0,22.5182952880859,1432.0,NA
34.0,25.858585357666,1141.0,NA
30.0,25.9515552520752,1102.0,NA
48.0,25.6771793365479,1710.0,NA
23.0,20.4823741912842,NA,2303
51.0,25.7457370758057,1745.0,3430
33.0,25.9219512939453,1265.0,NA
33.0,27.9772758483887,1607.0,3251
30.0,26.2125415802002,NA,3871
28.0,22.892822265625,NA,2625
39.0,23.0078582763672,NA,2282
32.0,21.1292610168457,2336.0,NA
33.0,20.24147605896,1568.0,NA
28.0,23.1481494903564,NA,1960
32.0,19.4414653778076,1710.0,3728
38.0,25.9740257263184,1288.0,NA
42.0,25.953987121582,1233.0,2653
33.0,29.7794494628906,1870.0,3900
42.0,24.6258563995361,NA,2891
29.0,27.1192646026611,1620.0,NA
35.0,35.0014228820801,3400.0,NA
41.0,20.035062789917,1285.0,NA
39.0,19.7888031005859,NA,3780
32.0,20.3339519500732,1008.0,2105
38.0,25.8121376037598,1155.0,2567
